"LocationID","Longitude","Latitude","var1","var2","qv1","qv2","qv12","interaction"
1,116.914806043496,36.4483409313485,"x2","x6",0.283889132743034,0.116804510112321,0.700232404305924,"Enhance, nonlinear"
2,116.937075413298,36.2544878027402,"x2","x6",0.551083015379734,0.128811623815634,0.744769584626754,"Enhance, nonlinear"
3,116.286139534786,36.6988005741499,"x1","x2",0.32723380789853,0.0607941050930756,0.4403410109773,"Enhance, nonlinear"
4,116.830447626067,36.2734674856765,"x2","x6",0.301087799519638,0.0401509177332321,0.714392035305879,"Enhance, nonlinear"
5,116.641745518893,36.4639960637782,"x1","x2",0.239022359917902,0.261455573534093,0.490309867329197,"Enhance, bi-"
6,116.51909594913,36.4301556958817,"x2","x6",0.227560004913792,0.0604703616810421,0.444558848243788,"Enhance, nonlinear"
7,116.736588314641,36.6919670021161,"x1","x3",0.148296963834512,0.133767448278167,0.43888675921525,"Enhance, nonlinear"
8,116.134666597238,36.1475359701086,"x2","x6",0.214806958589555,0.240927762515907,0.628722375035383,"Enhance, nonlinear"
9,116.656992290402,36.3975967349019,"x2","gc_x1",0.226623439839944,0.142269986191359,0.498127177299932,"Enhance, nonlinear"
10,116.705064784037,36.4710669027641,"x1","x2",0.22102881288736,0.295076308325562,0.513619752650958,"Enhance, bi-"
11,116.457741776248,36.4292272697669,"x2","x6",0.165997252331966,0.115992630323151,0.49246911358183,"Enhance, nonlinear"
12,116.719112251652,36.472178958985,"x1","x2",0.234798182742374,0.260474280503025,0.517176556687652,"Enhance, nonlinear"
13,116.934672247153,36.6167054224759,"x2","x3",0.192965378866415,0.377460480447792,0.611741718244742,"Enhance, nonlinear"
14,116.255428824341,36.3166128199082,"x2","x6",0.141385648769688,0.206893730658418,0.549864283352332,"Enhance, nonlinear"
15,116.462292822544,36.755668156757,"x1","x3",0.454314497491023,0.0122911089986654,0.600640878977561,"Enhance, nonlinear"
16,116.940014522756,36.8297223224072,"x2","x3",0.0749862527764661,0.496573979167233,0.570653696236828,"Enhance, bi-"
17,116.978226428386,36.0956786592258,"x2","x6",0.596596108281462,0.300082557899996,0.819532500848669,"Enhance, bi-"
18,116.117487361655,36.1858760263072,"x2","x6",0.20899344651086,0.250073548355697,0.622113486390226,"Enhance, nonlinear"
19,116.474997081561,36.4379786206176,"x2","x6",0.193269919589582,0.0863500790171652,0.44789277467551,"Enhance, nonlinear"
20,116.560332746245,36.2914398214314,"x2","gc_x1",0.25875987902158,0.177607079226061,0.608201424020635,"Enhance, nonlinear"
21,116.904031387297,36.424542532512,"x2","x6",0.369975016485902,0.100273895038262,0.714681857333671,"Enhance, nonlinear"
22,116.138710167725,36.527479651873,"x1","x2",0.26456980104444,0.0283876974356859,0.412872619251675,"Enhance, nonlinear"
23,116.988891728921,36.2015550113283,"x2","x6",0.612265266392621,0.206496975012625,0.805776245379421,"Enhance, bi-"
24,116.946668232558,36.6606267480645,"x2","x3",0.18366186181777,0.373330346779645,0.599564658425614,"Enhance, nonlinear"
25,116.0824375581,36.1354356891476,"x2","x6",0.184394896466769,0.287094155434552,0.616910045631706,"Enhance, nonlinear"
26,116.51421178435,36.6277980301995,"x1","x2",0.281648642020766,0.106990411150242,0.470788367000886,"Enhance, nonlinear"
27,116.390203467105,36.2376971143764,"x2","x6",0.169025032454253,0.133236229067828,0.532820898303732,"Enhance, nonlinear"
28,116.90573813091,36.3838184300344,"x2","x6",0.413081253071701,0.0897673369664741,0.725835693143006,"Enhance, nonlinear"
29,116.446969628101,36.6492002160056,"x1","x2",0.372921786738528,0.0968780955958194,0.513281436767683,"Enhance, nonlinear"
30,116.836004259996,36.4270245364169,"x2","x6",0.314640025011279,0.0806762795216485,0.663713707781362,"Enhance, nonlinear"
31,116.737595617771,36.3047282648273,"x2","gc_x1",0.249129589832052,0.297744341997321,0.67564691033583,"Enhance, nonlinear"
32,116.811055141268,36.2165329249576,"x2","x6",0.274036871143653,0.0549846348645219,0.766167395538247,"Enhance, nonlinear"
33,116.388108282816,36.194633710105,"x2","x6",0.156025693526526,0.116394007692068,0.518216236155485,"Enhance, nonlinear"
34,116.685169729404,36.2178523071343,"x2","x6",0.262581355882418,0.0450212714319547,0.734604992165263,"Enhance, nonlinear"
35,116.003948338795,36.5084142057225,"x1","x2",0.362920996787693,0.0383638518783243,0.494501738252016,"Enhance, nonlinear"
36,116.832916080253,36.6413112800103,"x2","x3",0.187775148466719,0.294962165884871,0.517433980367082,"Enhance, nonlinear"
37,116.007334146881,36.0972869381541,"x1","x6",0.39667534308252,0.252795683452758,0.622510760156082,"Enhance, bi-"
38,116.207658972824,36.4671682861866,"x1","x2",0.314668735310484,0.0503004079434034,0.435439193660418,"Enhance, nonlinear"
39,116.906601407798,36.766971310135,"x2","x3",0.140098697928784,0.428139144232305,0.577867984279865,"Enhance, nonlinear"
40,116.611778643448,36.6431687478907,"x1","x2",0.256719670221062,0.104552043557854,0.496798589474908,"Enhance, nonlinear"
41,116.379559240537,36.2825835163705,"x2","x6",0.15531534937537,0.143117839312957,0.516608925547425,"Enhance, nonlinear"
42,116.435771584976,36.1042354281759,"x1","x2",0.402831520209981,0.179414061808947,0.60444468088045,"Enhance, nonlinear"
43,116.037431032863,36.5175036607543,"x1","x2",0.321034967616589,0.0260705108117153,0.46132228712238,"Enhance, nonlinear"
44,116.973539913772,36.7482347298414,"x2","x3",0.139311937675874,0.461596361473983,0.596307409358337,"Enhance, bi-"
45,116.431751248892,36.4683057821123,"x1","x2",0.236648263104029,0.177292882434731,0.435223246334186,"Enhance, nonlinear"
46,116.957576596644,36.6246099257609,"x2","x3",0.168547849354257,0.402793088329013,0.616059063875267,"Enhance, nonlinear"
47,116.887754905503,36.4499135905411,"x2","x6",0.279484681034418,0.101877550431608,0.665161059590268,"Enhance, nonlinear"
48,116.639978769468,36.3187443588395,"x2","gc_x1",0.253126103505401,0.23316533818528,0.646915775940469,"Enhance, nonlinear"
49,116.970966610359,36.8683237431105,"x2","x3",0.103700964294641,0.485286641915557,0.592298387992795,"Enhance, nonlinear"
50,116.618838207331,36.8300351287471,"x1","x3",0.36918050719095,0.0638307183206424,0.661363781630522,"Enhance, nonlinear"
51,116.33342721127,36.184133435972,"x2","x6",0.166599333487135,0.182008051615847,0.541630831042906,"Enhance, nonlinear"
52,116.346748248208,36.8594126394717,"x1","x6",0.429849590082577,0.122512074376012,0.563727482575986,"Enhance, nonlinear"
53,116.398485411424,36.7865935491398,"x1","x3",0.431787582800905,0.0576754081512586,0.547068335500765,"Enhance, nonlinear"
54,116.784692775691,36.6276103482815,"x2","x6",0.182108075027679,0.19376505255378,0.432040636321626,"Enhance, nonlinear"
55,116.038936491124,36.4613344063517,"x1","x2",0.358423362931742,0.0514120491733033,0.560598473153965,"Enhance, nonlinear"
56,116.748795386171,36.4327348638559,"x2","x6",0.291350844730334,0.03148169812474,0.561397518300977,"Enhance, nonlinear"
57,116.677276830189,36.1816208307864,"x2","x6",0.27270643440671,0.0600763699858994,0.72348034620197,"Enhance, nonlinear"
58,116.171264330391,36.0902064189082,"x1","x6",0.463572192791656,0.318136384577206,0.614740816525165,"Enhance, bi-"
59,116.261087963823,36.4253299871692,"x1","x2",0.356976316494485,0.104263368834766,0.479666577959817,"Enhance, nonlinear"
60,116.514412934659,36.2809616832761,"x2","x6",0.24467032889836,0.0336102477458912,0.611255955080712,"Enhance, nonlinear"
61,116.675607274519,36.6951593746198,"x1","x6",0.204688926636394,0.170918120859261,0.46916667132973,"Enhance, nonlinear"
