"block_id","col","row","x_km","y_km","density","connectivity","performance","safety","accessibility","transport_modes","gamma_a","gamma_b","gamma"
1,1,1,5,5,0.135312923302585,0.0641307355868419,0.341398032389213,0.373672496239517,0.408984562331485,0.385817534175828,0.0997218294447136,0.377468156284011,0.238594992864362
2,2,1,15,5,0.115986585836867,0.0878823355922788,0.271510232942453,0.221704623978194,0.359051718854502,0.263102699731393,0.101934460714573,0.278842318876636,0.190388389795604
3,3,1,25,5,0.101927675603013,0.0951558071977245,0.423364498513263,0.410888147273443,0.368707280902123,0.445188269459378,0.0985417414003689,0.412037049037052,0.25528939521871
4,4,1,35,5,0.142562272315042,0.0949683916547724,0.386475752538384,0.441533715490592,0.473055781755948,0.430904120772138,0.118765331984907,0.432992342639265,0.275878837312086
5,5,1,45,5,0.17302011810632,0.140492027988445,0.521340839390393,0.647996106263702,0.535304351005346,0.652401955234377,0.156756073047382,0.589260812973455,0.373008443010419
6,6,1,55,5,0.199186593905658,0.165874223286294,0.528637742996253,0.509012335867407,0.502035625134878,0.588028860611024,0.182530408595976,0.531928641152391,0.357229524874183
7,7,1,65,5,0.24448166217087,0.215966330050271,0.521727628361986,0.628806550804465,0.533013001427726,0.634324576745211,0.230223996110571,0.579467939334847,0.404845967722709
8,8,1,75,5,0.291000311759214,0.229776190077614,0.503008990696491,0.553037871512409,0.50944413421254,0.543799449546035,0.260388250918414,0.527322611491869,0.393855431205141
9,9,1,85,5,0.225802387057756,0.18426381601007,0.437520969433072,0.44989784082712,0.428243572994946,0.520625108681827,0.205033101533913,0.459071872984241,0.332052487259077
10,10,1,95,5,0.115245715060744,0.0910305287259228,0.280722122609315,0.146724541214314,0.235961227371686,0.264208524077014,0.103138121893334,0.231904103818082,0.167521112855708
11,11,1,105,5,0.0985544110864095,0.0274712905939068,0.100215726290484,0.193864651645126,0.262410281968948,0.175938398130366,0.0630128508401581,0.183107264508731,0.123060057674445
12,12,1,115,5,0.135077493483187,0.107668989581634,0.166504380681708,0.146225436799583,0.135894613829364,0.194329782264587,0.12137324153241,0.16073855339381,0.14105589746311
