"block_id","col","row","x_km","y_km","beta0","beta_a","beta_b","fitted","residual"
1,1,1,5,5,56.8988422153425,8.57687368552912,14.7623031139087,63.3264430890926,-0.857529518137866
2,2,1,15,5,56.6791071942212,8.12716986885344,15.2980564647315,61.77329141087,1.29007487907192
3,3,1,25,5,56.4618354545612,7.44365944008597,15.8716614485348,63.735059164748,2.59146129191781
4,4,1,35,5,55.9762525997499,5.79607324908184,17.2593560111176,64.1377941550848,-1.42318354538175
5,5,1,45,5,55.4124901982788,2.61940520711641,19.2248705425598,67.1515607174844,-1.29758789809412
6,6,1,55,5,54.852720615078,-0.676428724499208,21.2510358427198,66.0332864225078,-1.36641286179622
7,7,1,65,5,54.4849735440688,-2.05844582119763,22.3546799969098,66.9648902736349,-5.16329395059835
8,8,1,75,5,54.2486766283633,-1.30044839739769,22.5433552887347,65.7976761273999,0.0661606348729009
9,9,1,85,5,54.0661364046648,0.949710274935906,22.1330994057888,64.4215418470554,-0.920638745331622
10,10,1,95,5,53.9317809440507,3.18478353525314,21.6837729923985,59.2888094797104,-0.353049696019589
11,11,1,105,5,53.9044615094055,3.53661048133846,21.8320953673203,58.1249286793496,0.103999130599696
12,12,1,115,5,53.9842149252483,1.88124805828017,22.67269417937,57.8569241641406,1.28573812982445
13,13,1,125,5,54.0426218681403,0.00880751838890695,23.7810382593592,54.9007192517343,-1.85888433790799
14,14,1,135,5,54.1430460320178,-1.35709567948983,24.4282972019738,58.293619209651,-3.17011838134049
15,15,1,145,5,54.3195780430816,-2.00038900849329,24.2937135649713,60.047124392285,-0.954955276857035
16,16,1,155,5,54.5293849382905,-2.11374584303279,23.6861654351204,61.235900066834,3.11442400599223
17,17,1,165,5,54.7689496373489,-2.10864479481705,22.9811419812785,63.4192203911272,0.547946736789619
18,18,1,175,5,55.095123729477,-2.09248669117431,22.1389676856892,63.2461944136028,0.843550475561024
19,19,1,185,5,55.6314245750164,-2.00307563743845,20.8619458384435,65.2902410496467,2.36025180997805
20,20,1,195,5,56.5232302655512,-1.66368176593908,18.8138063228563,66.0847535018622,-0.306450946805384
21,21,1,205,5,57.7549128636306,-1.18181284758897,16.1793002989174,66.6232445736388,0.728416712872672
22,22,1,215,5,58.9038026066403,-0.461785214084811,13.7317618614722,66.4374602829758,-1.97942879623547
23,23,1,225,5,59.5190134583222,0.437868031554248,12.3268198642269,66.007881588688,3.32625628566186
24,24,1,235,5,59.5512507465132,1.57187139925377,12.0039509166869,67.0680481273963,-1.95927806142191
25,25,1,245,5,59.0092908167643,2.29120628002405,12.9273443760927,66.7605835665085,-0.575279127260202
26,26,1,255,5,57.8243609273776,1.83302082018975,15.4249830473456,67.3567743739782,-1.52291259744447
27,27,1,265,5,56.4846057472165,1.28037211530579,18.1887287820665,65.5422275084115,1.87690938911422
28,28,1,275,5,55.3984743264447,1.1128130768347,20.2944202905178,63.7583563414352,-1.79786644268476
29,29,1,285,5,55.0229737038066,1.10045766045239,20.9547822509745,66.6383720793296,-0.0472913891670856
30,30,1,295,5,55.3599324672004,1.13754824631123,20.1416607049983,64.9725919751105,0.163939951343508
31,31,1,305,5,56.1284948788483,1.38527966769871,18.2311038286318,65.1553333042647,-1.45472164429446
